pos1,pos2,freq
PRON,AUX,12
AUX,SCONJ,1
SCONJ,PRON,2
PRON,VERB,2
VERB,DET,4
DET,NOUN,7
NOUN,ADP,4
ADP,NOUN,2
ADP,DET,4
INTJ,ADV,1
ADV,PRON,2
AUX,ADJ,1
ADJ,ADJ,2
ADJ,CCONJ,1
CCONJ,ADJ,1
ADJ,NOUN,8
NOUN,AUX,2
AUX,PRON,2
PRON,PRON,2
AUX,VERB,4
VERB,CCONJ,1
CCONJ,VERB,1
VERB,ADP,4
NOUN,CCONJ,2
CCONJ,NOUN,2
CCONJ,PRON,2
AUX,DET,4
DET,ADJ,6
ADP,PRON,1
AUX,ADP,1
AUX,PART,1
PART,DET,1
ADV,ADJ,1
ADJ,ADV,1
ADV,ADV,1
ADV,PART,1
PART,VERB,2
NOUN,NOUN,2
INTJ,INTJ,1
INTJ,PRON,1
VERB,PRON,2
PRON,ADP,1
ADV,VERB,2
PRON,ADJ,1
PRON,ADV,1
NOUN,PART,1
NOUN,SCONJ,1
