pos1,pos2,pos3,freq
PRON,AUX,SCONJ,445
AUX,SCONJ,PRON,598
SCONJ,PRON,VERB,4022
PRON,VERB,DET,4941
VERB,DET,NOUN,10565
DET,NOUN,ADP,10115
NOUN,ADP,NOUN,6080
ADP,NOUN,ADP,2286
NOUN,ADP,DET,9110
ADP,DET,NOUN,16262
INTJ,ADV,PRON,109
ADV,PRON,AUX,2777
PRON,AUX,ADJ,2118
AUX,ADJ,ADJ,49
ADJ,ADJ,CCONJ,49
ADJ,CCONJ,ADJ,386
CCONJ,ADJ,NOUN,766
ADJ,NOUN,AUX,1339
NOUN,AUX,PRON,622
AUX,PRON,PRON,516
PRON,PRON,AUX,2186
PRON,AUX,VERB,10885
AUX,VERB,CCONJ,498
VERB,CCONJ,VERB,625
CCONJ,VERB,ADP,529
VERB,ADP,DET,5636
DET,NOUN,CCONJ,2618
NOUN,CCONJ,NOUN,2185
CCONJ,PRON,AUX,3648
PRON,AUX,DET,2559
AUX,DET,ADJ,1605
DET,ADJ,NOUN,9919
ADJ,NOUN,ADP,4682
NOUN,ADP,PRON,3234
ADP,PRON,PRON,936
PRON,AUX,ADP,986
AUX,ADP,DET,785
PRON,AUX,PART,4423
AUX,PART,DET,251
PART,DET,ADJ,122
AUX,VERB,ADP,4757
ADP,DET,ADJ,4241
DET,ADJ,ADJ,743
ADJ,ADJ,NOUN,1255
ADV,ADJ,ADV,89
ADJ,ADV,ADV,75
ADV,ADV,PART,103
ADV,PART,VERB,475
PART,VERB,ADP,2605
VERB,DET,ADJ,3051
ADJ,NOUN,CCONJ,1762
CCONJ,NOUN,NOUN,589
INTJ,INTJ,PRON,85
INTJ,PRON,AUX,981
AUX,VERB,PRON,2351
VERB,PRON,ADP,2323
ADV,VERB,DET,1089
PRON,AUX,PRON,1575
AUX,PRON,ADJ,242
PRON,ADJ,NOUN,1207
PRON,ADV,VERB,1622
ADV,VERB,PRON,1138
ADJ,NOUN,PART,677
NOUN,PART,VERB,2792
PART,VERB,DET,3266
NOUN,NOUN,AUX,1457
NOUN,AUX,DET,598
AUX,DET,NOUN,2440
ADP,NOUN,SCONJ,407
NOUN,SCONJ,PRON,2228
SCONJ,PRON,AUX,4556
ADV,AUX,DET,204
DET,NOUN,NOUN,5593
NOUN,NOUN,PRON,1449
NOUN,PRON,PRON,1264
PRON,PRON,VERB,2008
PRON,VERB,ADP,3343
VERB,ADP,VERB,454
ADP,VERB,DET,475
AUX,ADJ,NOUN,370
NOUN,ADP,ADJ,1626
ADP,ADJ,NOUN,2462
NOUN,ADP,PROPN,1803
ADV,DET,ADJ,566
ADJ,NOUN,PRON,2111
NOUN,PRON,VERB,3509
PRON,VERB,AUX,420
VERB,AUX,SCONJ,89
AUX,SCONJ,DET,202
SCONJ,DET,NOUN,1844
DET,NOUN,AUX,3349
NOUN,AUX,ADV,981
AUX,ADV,ADV,708
PRON,VERB,VERB,555
VERB,VERB,VERB,32
VERB,VERB,ADV,82
VERB,ADV,VERB,134
ADV,VERB,NOUN,452
VERB,NOUN,PRON,492
NOUN,PRON,AUX,4755
VERB,ADP,NOUN,1994
PART,PRON,PRON,55
PRON,AUX,AUX,2178
AUX,AUX,ADP,208
AUX,ADP,PRON,235
ADP,PRON,NOUN,2451
SCONJ,AUX,PRON,301
AUX,PRON,VERB,1775
PRON,VERB,NUM,486
VERB,NUM,NOUN,466
NUM,NOUN,VERB,222
NOUN,VERB,ADP,1986
VERB,ADP,CCONJ,369
ADP,CCONJ,DET,44
CCONJ,DET,NOUN,1675
DET,NOUN,VERB,2592
NOUN,VERB,ADV,435
VERB,ADV,SCONJ,187
ADV,SCONJ,AUX,68
AUX,PRON,ADV,221
DET,ADJ,PRON,96
ADJ,PRON,ADV,34
ADV,VERB,PART,528
VERB,PART,VERB,5198
PART,VERB,PRON,3125
ADV,DET,NOUN,1304
ADP,NOUN,PRON,1054
VERB,ADP,ADJ,777
ADJ,NOUN,VERB,1162
NOUN,VERB,PRON,987
VERB,PRON,AUX,2925
PRON,AUX,ADV,3670
